日期,国家,确诊人数,治愈人数,死亡人数,新增确诊,新增死亡,现有确诊
5月22日,西班牙,233037,196958,26834,482,0,36079
5月23日,西班牙,234824,196958,26834,1787,0,37866
5月24日,西班牙,235290,196958,26834,466,0,38332
5月25日,西班牙,235400,196958,26834,110,0,38442
5月26日,西班牙,235400,196958,26834,0,0,38442
5月27日,西班牙,236259,196958,27117,859,280,39301
5月28日,西班牙,236769,196958,27118,510,1,39811
5月29日,西班牙,237906,196958,27119,1137,1,40948
5月30日,西班牙,238564,196958,27121,658,2,41606
5月31日,西班牙,239228,196958,27125,664,4,42270
6月1日,西班牙,239429,196958,27127,201,2,42471
6月2日,西班牙,239638,196958,27127,209,0,42680
6月3日,西班牙,239932,0,27127,294,0,239932
6月4日,西班牙,240326,0,27128,394,1,240326
6月5日,西班牙,240666,0,27133,340,5,240666
6月6日,西班牙,240978,0,27134,312,1,240978
6月7日,西班牙,241310,0,27135,332,1,241310
6月8日,西班牙,241550,0,27136,240,1,241550
6月9日,西班牙,241717,N/A,27136,167,0,#VALUE!
6月10日,西班牙,241966,N/A,27136,249,0,#VALUE!
6月11日,西班牙,242282,N/A,27136,316,0,#VALUE!
6月12日,西班牙,242707,N/A,27136,425,0,#VALUE!
6月13日,西班牙,243209,N/A,27136,502,0,#VALUE!
6月14日,西班牙,243605,N/A,27136,396,0,#VALUE!
6月15日,西班牙,243928,N/A,27136,323,0,#VALUE!
6月16日,西班牙,244109,N/A,27136,181,0,#VALUE!
6月17日,西班牙,244328,N/A,27136,219,0,#VALUE!
6月18日,西班牙,244683,N/A,27136,355,0,#VALUE!
6月19日,西班牙,245268,N/A,27136,585,0,#VALUE!
6月20日,西班牙,245575,N/A,28315,307,1179,#VALUE!
6月21日,西班牙,245938,N/A,28322,363,7,#VALUE!
6月22日,西班牙,246272,N/A,28323,334,1,#VALUE!
6月23日,西班牙,0,0,0,0,0,0
6月24日,西班牙,0,0,0,0,0,0
6月25日,西班牙,0,0,0,0,0,0
6月26日,西班牙,0,0,0,0,0,0
6月27日,西班牙,0,0,0,0,0,0
6月28日,西班牙,0,0,0,0,0,0
6月29日,西班牙,0,0,0,0,0,0
6月30日,西班牙,0,0,0,0,0,0
2月1日,意大利,2,,0,,0,2
2月2日,意大利,2,,0,0,0,2
2月3日,意大利,2,,0,0,0,2
2月4日,意大利,2,,0,0,0,2
2月5日,意大利,2,,0,0,0,2
2月6日,意大利,2,,0,0,0,2
2月7日,意大利,3,,0,1,0,3
2月8日,意大利,3,,0,0,0,3
2月9日,意大利,3,,0,0,0,3
2月10日,意大利,3,,0,0,0,3
2月11日,意大利,3,,0,0,0,3
2月12日,意大利,3,,0,0,0,3
2月13日,意大利,3,,0,0,0,3
2月14日,意大利,3,,0,0,0,3
2月15日,意大利,3,,0,0,0,3
2月16日,意大利,3,,0,0,0,3
2月17日,意大利,3,,0,0,0,3
2月18日,意大利,3,,0,0,0,3
2月19日,意大利,3,,0,0,0,3
2月20日,意大利,3,,0,0,0,3
2月21日,意大利,3,,0,0,0,3
2月22日,意大利,9,,0,6,0,9
2月23日,意大利,76,,2,67,2,76
2月24日,意大利,124,,2,48,0,124
2月25日,意大利,229,,6,105,4,229
2月26日,意大利,322,,11,93,5,322
2月27日,意大利,400,,12,78,1,400
2月28日,意大利,650,,17,250,5,650
2月29日,意大利,888,,21,238,4,888
3月1日,意大利,1128,,29,240,8,1128
3月2日,意大利,1689,,35,561,6,1689
3月3日,意大利,2036,,52,347,17,2036
3月4日,意大利,2502,,80,466,28,2502
3月5日,意大利,3089,,107,587,27,3089
3月6日,意大利,3858,,148,769,41,3858
3月7日,意大利,4636,523,197,778,49,4113
3月8日,意大利,5883,589,233,1247,36,5294
3月9日,意大利,7375,622,366,1492,133,6753
3月10日,意大利,9172,724,463,1797,97,8448
3月11日,意大利,10149,1004,631,977,168,9145
3月12日,意大利,12462,1045,827,2313,196,11417
3月13日,意大利,15113,1258,1016,2651,189,13855
3月14日,意大利,17660,1439,1266,2547,250,16221
3月15日,意大利,21157,1966,1441,3497,175,19191
3月16日,意大利,24747,2335,1809,3590,368,22412
3月17日,意大利,27980,2749,2158,3233,349,25231
