日期,国家,确诊人数,治愈人数,死亡人数,新增确诊,新增死亡,现有确诊
2月11日,西班牙,2,,0,0,0,2
2月12日,西班牙,2,,0,0,0,2
2月13日,西班牙,2,,0,0,0,2
2月14日,西班牙,2,,0,0,0,2
2月15日,西班牙,2,,0,0,0,2
2月16日,西班牙,2,,0,0,0,2
2月17日,西班牙,2,,0,0,0,2
2月18日,西班牙,2,,0,0,0,2
2月19日,西班牙,2,,0,0,0,2
2月20日,西班牙,2,,0,0,0,2
2月21日,西班牙,2,,0,0,0,2
2月22日,西班牙,2,,0,0,0,2
2月23日,西班牙,2,,0,0,0,2
2月24日,西班牙,2,,0,0,0,2
2月25日,西班牙,2,,0,0,0,2
2月26日,西班牙,2,,0,0,0,2
2月27日,西班牙,12,,0,10,0,12
2月28日,西班牙,25,,0,13,0,25
2月29日,西班牙,32,,0,7,0,32
3月1日,西班牙,45,,0,13,0,45
3月2日,西班牙,45,,0,0,0,45
3月3日,西班牙,114,,0,69,0,114
3月4日,西班牙,151,,0,37,0,151
3月5日,西班牙,198,,1,47,1,198
3月6日,西班牙,257,,3,59,2,257
3月7日,西班牙,401,6,8,144,5,395
3月8日,西班牙,503,30,10,102,2,473
3月9日,西班牙,674,32,17,171,7,642
3月10日,西班牙,1231,32,30,557,13,1199
3月11日,西班牙,1695,135,36,464,6,1560
3月12日,西班牙,2277,183,55,582,19,2094
3月13日,西班牙,3146,189,86,869,31,2957
3月14日,西班牙,5232,193,133,2086,47,5039
3月15日,西班牙,6391,517,195,1159,62,5874
3月16日,西班牙,7845,517,292,1454,97,7328
3月17日,西班牙,9682,530,342,1837,50,9152
3月18日,西班牙,11826,1028,533,2144,191,10798
3月19日,西班牙,14769,1081,638,2943,105,13688
3月20日,西班牙,18077,1107,831,3308,193,16970
3月21日,西班牙,21510,2125,1326,3433,495,19385
3月22日,西班牙,25496,2125,1378,3986,52,23371
3月23日,西班牙,28603,2125,1756,3107,378,26478
3月24日,西班牙,35136,3355,2311,6533,555,31781
3月25日,西班牙,42058,3794,2991,6922,680,38264
3月26日,西班牙,49515,5367,3647,7457,656,44148
3月27日,西班牙,56347,7015,4154,6832,507,49332
3月28日,西班牙,64285,9357,4940,7938,786,54928
3月29日,西班牙,72469,12285,5826,8184,886,60184
3月30日,西班牙,80031,14709,6802,7562,976,65322
3月31日,西班牙,87956,16780,7716,7925,914,71176
4月1日,西班牙,95923,19259,8464,7967,748,76664
4月2日,西班牙,104118,22647,9387,8195,923,81471
4月3日,西班牙,112065,26743,10348,7947,961,85322
4月4日,西班牙,119199,30513,11198,7134,850,88686
4月5日,西班牙,126168,34219,11947,6969,749,91949
4月6日,西班牙,131646,38080,12641,5478,694,93566
4月7日,西班牙,136675,40437,13341,5029,700,96238
4月8日,西班牙,141942,43208,14045,5267,704,98734
4月9日,西班牙,148220,48021,14792,6278,747,100199
4月10日,西班牙,153222,52165,15447,5002,655,101057
4月11日,西班牙,158273,55668,16081,5051,634,102605
4月12日,西班牙,163027,59109,16606,4754,525,103918
4月13日,西班牙,166127,62391,17113,3100,507,103736
4月14日,西班牙,169628,64727,17628,3501,515,104901
4月15日,西班牙,172541,67504,18056,2913,428,105037
4月16日,西班牙,177644,70853,18708,5103,652,106791
4月17日,西班牙,184948,74797,19315,7304,607,110151
4月18日,西班牙,188093,74797,19613,3145,298,113296
4月19日,西班牙,191726,74797,20043,3633,430,116929
4月20日,西班牙,198674,77357,20453,6948,410,121317
4月21日,西班牙,200210,80587,20852,1536,399,119623
4月22日,西班牙,204178,82514,21282,3968,430,121664
4月23日,西班牙,208389,85915,21717,4211,435,122474
4月24日,西班牙,213024,89250,22157,4635,440,123774
4月25日,西班牙,219764,92355,22524,6740,367,127409
4月26日,西班牙,219764,95708,22524,0,0,124056
4月27日,西班牙,207634,117727,23190,-12130,666,89907
4月28日,西班牙,209465,120832,23521,1831,331,88633
4月29日,西班牙,210773,123903,23822,1308,301,86870
4月30日,西班牙,212917,132929,24275,2144,453,79988
5月1日,西班牙,213435,137984,24543,518,268,75451
5月2日,西班牙,215216,142450,24824,1781,281,72766
5月3日,西班牙,216582,146233,25100,1366,276,70349
5月4日,西班牙,217466,148558,25264,884,164,68908
5月5日,西班牙,218011,151633,25428,545,164,66378
5月6日,西班牙,219329,154718,25613,1318,185,64611
5月7日,西班牙,220325,159359,25857,996,244,60966
5月8日,西班牙,221447,163919,26070,1122,213,57528
5月9日,西班牙,222857,168408,26299,1410,229,54449
5月10日,西班牙,223578,173157,26478,721,179,50421
5月11日,西班牙,224390,176439,26621,812,143,47951
5月12日,西班牙,227436,177846,26744,3046,123,49590
5月13日,西班牙,228030,180470,26834,594,90,47560
5月14日,西班牙,228691,183227,26834,661,0,45464
5月15日,西班牙,229540,186480,26834,849,0,43060
5月16日,西班牙,230183,188967,26834,643,0,41216
5月17日,西班牙,230698,192253,26834,515,0,38445
5月18日,西班牙,231360,195945,26834,662,0,35415
5月19日,西班牙,231606,196958,26834,246,0,34648
5月20日,西班牙,232037,196958,26834,431,0,35079
5月21日,西班牙,232555,196958,26834,518,0,35597
5月22日,西班牙,233037,196958,26834,482,0,36079
5月23日,西班牙,234824,196958,26834,1787,0,37866
5月24日,西班牙,235290,196958,26834,466,0,38332
5月25日,西班牙,235400,196958,26834,110,0,38442
5月26日,西班牙,235400,196958,26834,0,0,38442
5月27日,西班牙,236259,196958,27117,859,280,39301
5月28日,西班牙,236769,196958,27118,510,1,39811
5月29日,西班牙,237906,196958,27119,1137,1,40948
5月30日,西班牙,238564,196958,27121,658,2,41606
5月31日,西班牙,239228,196958,27125,664,4,42270
6月1日,西班牙,239429,196958,27127,201,2,42471
6月2日,西班牙,239638,196958,27127,209,0,42680
6月3日,西班牙,239932,0,27127,294,0,239932
6月4日,西班牙,240326,0,27128,394,1,240326
6月5日,西班牙,240666,0,27133,340,5,240666
6月6日,西班牙,240978,0,27134,312,1,240978
6月7日,西班牙,241310,0,27135,332,1,241310
6月8日,西班牙,241550,0,27136,240,1,241550
6月9日,西班牙,241717,N/A,27136,167,0,#VALUE!
6月10日,西班牙,241966,N/A,27136,249,0,#VALUE!
6月11日,西班牙,242282,N/A,27136,316,0,#VALUE!
6月12日,西班牙,242707,N/A,27136,425,0,#VALUE!
6月13日,西班牙,243209,N/A,27136,502,0,#VALUE!
6月14日,西班牙,243605,N/A,27136,396,0,#VALUE!
6月15日,西班牙,243928,N/A,27136,323,0,#VALUE!
6月16日,西班牙,244109,N/A,27136,181,0,#VALUE!
6月17日,西班牙,244328,N/A,27136,219,0,#VALUE!
6月18日,西班牙,244683,N/A,27136,355,0,#VALUE!
6月19日,西班牙,245268,N/A,27136,585,0,#VALUE!
6月20日,西班牙,245575,N/A,28315,307,1179,#VALUE!
6月21日,西班牙,245938,N/A,28322,363,7,#VALUE!
6月22日,西班牙,246272,N/A,28323,334,1,#VALUE!
6月23日,西班牙,0,0,0,0,0,0
6月24日,西班牙,0,0,0,0,0,0
6月25日,西班牙,0,0,0,0,0,0
6月26日,西班牙,0,0,0,0,0,0
2月1日,意大利,2,,0,,0,2
2月2日,意大利,2,,0,0,0,2
2月3日,意大利,2,,0,0,0,2
2月4日,意大利,2,,0,0,0,2
2月5日,意大利,2,,0,0,0,2
2月6日,意大利,2,,0,0,0,2
2月7日,意大利,3,,0,1,0,3
2月8日,意大利,3,,0,0,0,3
2月9日,意大利,3,,0,0,0,3
2月10日,意大利,3,,0,0,0,3
2月11日,意大利,3,,0,0,0,3
2月12日,意大利,3,,0,0,0,3
2月13日,意大利,3,,0,0,0,3
2月14日,意大利,3,,0,0,0,3
2月15日,意大利,3,,0,0,0,3
2月16日,意大利,3,,0,0,0,3
2月17日,意大利,3,,0,0,0,3
2月18日,意大利,3,,0,0,0,3
2月19日,意大利,3,,0,0,0,3
2月20日,意大利,3,,0,0,0,3
2月21日,意大利,3,,0,0,0,3
2月22日,意大利,9,,0,6,0,9
2月23日,意大利,76,,2,67,2,76
2月24日,意大利,124,,2,48,0,124
2月25日,意大利,229,,6,105,4,229
2月26日,意大利,322,,11,93,5,322
2月27日,意大利,400,,12,78,1,400
2月28日,意大利,650,,17,250,5,650
2月29日,意大利,888,,21,238,4,888
3月1日,意大利,1128,,29,240,8,1128
3月2日,意大利,1689,,35,561,6,1689
3月3日,意大利,2036,,52,347,17,2036
3月4日,意大利,2502,,80,466,28,2502
3月5日,意大利,3089,,107,587,27,3089
3月6日,意大利,3858,,148,769,41,3858
3月7日,意大利,4636,523,197,778,49,4113
3月8日,意大利,5883,589,233,1247,36,5294
3月9日,意大利,7375,622,366,1492,133,6753
3月10日,意大利,9172,724,463,1797,97,8448
3月11日,意大利,10149,1004,631,977,168,9145
3月12日,意大利,12462,1045,827,2313,196,11417
3月13日,意大利,15113,1258,1016,2651,189,13855
3月14日,意大利,17660,1439,1266,2547,250,16221
3月15日,意大利,21157,1966,1441,3497,175,19191
3月16日,意大利,24747,2335,1809,3590,368,22412
3月17日,意大利,27980,2749,2158,3233,349,25231
3月18日,意大利,31506,2941,2503,3526,345,28565
3月19日,意大利,35713,4025,2978,4207,475,31688
3月20日,意大利,41035,4440,3405,5322,427,36595
3月21日,意大利,47021,5129,4032,5986,627,41892
3月22日,意大利,53578,6072,4825,6557,793,47506
3月23日,意大利,59138,7024,5476,5560,651,52114
3月24日,意大利,63927,7432,6077,4789,601,56495
3月25日,意大利,69176,8326,6820,5249,743,60850
3月26日,意大利,74386,9362,7503,5210,683,65024
3月27日,意大利,80589,10361,8215,6203,712,70228
3月28日,意大利,86498,10950,9134,5909,919,75548
3月29日,意大利,92472,12384,10023,5974,889,80088
3月30日,意大利,97689,13030,10779,5217,756,84659
3月31日,意大利,101739,14620,11591,4050,812,87119
4月1日,意大利,105792,15729,12428,4053,837,90063
4月2日,意大利,110574,16847,13155,4782,727,93727
4月3日,意大利,115242,18278,13915,4668,760,96964
4月4日,意大利,119827,19758,14681,4585,766,100069
4月5日,意大利,124632,20996,15362,4805,681,103636
4月6日,意大利,128948,21815,15887,4316,525,107133
4月7日,意大利,132547,22837,16523,3599,636,109710
4月8日,意大利,135586,24392,17127,3039,604,111194
4月9日,意大利,139422,26491,17669,3836,542,112931
4月10日,意大利,143626,28470,18279,4204,610,115156
4月11日,意大利,147577,30455,18849,3951,570,117122
4月12日,意大利,152271,32534,19468,4694,619,119737
4月13日,意大利,156363,34211,19899,4092,431,122152
4月14日,意大利,159516,35435,20465,3153,566,124081
4月15日,意大利,162488,37130,21067,2972,602,125358
4月16日,意大利,165155,38092,21645,2667,578,127063
4月17日,意大利,168941,40164,22170,3786,525,128777
4月18日,意大利,172434,42727,22745,3493,575,129707
4月19日,意大利,175925,44927,23227,3491,482,130998
4月20日,意大利,178972,47055,23660,3047,433,131917
4月21日,意大利,181228,48877,24114,2256,454,132351
4月22日,意大利,183957,51600,24648,2729,534,132357
4月23日,意大利,187327,54543,25085,3370,437,132784
4月24日,意大利,189973,57576,25549,2646,464,132397
4月25日,意大利,192994,60498,25969,3021,420,132496
4月26日,意大利,195351,63120,26384,2357,415,132231
4月27日,意大利,197675,64928,26644,2324,260,132747
4月28日,意大利,199414,66624,26977,1739,333,132790
4月29日,意大利,201505,68941,27359,2091,382,132564
4月30日,意大利,203591,71252,27682,2086,323,132339
5月1日,意大利,205463,75945,27967,1872,285,129518
5月2日,意大利,207428,78249,28236,1965,269,129179
5月3日,意大利,209328,79914,28710,1900,474,129414
5月4日,意大利,210717,81654,28884,1389,174,129063
5月5日,意大利,211938,82879,29079,1221,195,129059
5月6日,意大利,213013,85231,29315,1075,236,127782
5月7日,意大利,214457,93245,29684,1444,369,121212
5月8日,意大利,215858,96276,29958,1401,274,119582
5月9日,意大利,217185,99023,30201,1327,243,118162
5月10日,意大利,218268,103031,30395,1083,194,115237
5月11日,意大利,219070,105186,30560,802,165,113884
5月12日,意大利,219814,106587,30739,744,179,113227
5月13日,意大利,221216,109039,30911,1402,172,112177
5月14日,意大利,222104,112541,31106,888,195,109563
5月15日,意大利,223096,115288,31368,992,262,107808
5月16日,意大利,223885,120205,31610,789,242,103680
5月17日,意大利,224760,122810,31763,875,153,101950
5月18日,意大利,225435,125176,31908,675,145,100259
5月19日,意大利,225886,127326,32007,451,99,98560
5月20日,意大利,226699,129401,32169,813,162,97298
5月21日,意大利,227364,132282,32330,665,161,95082
5月22日,意大利,228006,134560,32486,642,156,93446
