lat,lng,value
-9.621718,-73.444929,29477
,,7425
12.879721,121.774017,997523
51.9194,19.1451,2758856
39.3999,-8.2245,834442
25.3548,51.1839,202201
45.9432,24.9668,1046264
44.6939006,40.1520421,14373
52.6932243,82.69314240000001,49266
50.7114101,86.8572186,16793
52.8032368,128.437295,22240
63.5589686,43.1221646,61617
47.1878186,47.608851,32490
54.8573563,57.1439682,34886
50.7080119,37.5837615,36382
52.8873315,33.41585300000001,37788
52.7182426,109.492143,37007
43.39761470000001,45.6985005,11945
54.4223954,61.1865846,58350
66.0006475,169.4900869,746
55.4259922,47.0849429,23945
43.05749160000001,47.1332224,32118
43.11542075,45.01713552,15376
56.6370122,104.719221,65534
56.9167446,41.43521370000001,34113
48.57527615,132.66307460000002,4467
43.4806048,43.5978976,23638
54.7293041,21.1489473,31518
46.2313018,45.3275745,20364
54.4382773,35.5272854,33790
57.1914882,160.03838190000005,14409
43.7368326,41.7267991,19996
62.61940309999999,33.4920267,45517
54.53357809999999,87.342861,34764
51.6312684,136.121524,51573
53.72258845,91.44293627,22264
61.0259025,69.0982628,55751
57.9665589,49.4074599,41727
63.9881421,54.3326073,43077
58.424756,44.2533273,20466
45.7684014,39.0261044,44978
63.3233807,97.0979974,69770
55.7655302,64.5632681,20188
51.6568453,36.4852695,36081
60.1853296,32.3925325,42157
52.6935178,39.1122664,29517
62.48858785,153.9903764,8317
56.5767504,47.8817512,12983
54.4419829,44.4661144,19919
55.7504461,37.6174943,1080309
55.50431579999999,38.0353929,246785
68.00004179999999,33.9999151,50216
68.27557185,57.1686375,1095
55.47180329999999,44.0911594,113096
42.79336110000001,44.6324493,16678
58.2843833,32.5169757,29722
54.9720169,79.48139240000002,40731
56.09352629999999,73.5099936,45443
52.96854329999999,36.0692477,33858
52.02692620000001,54.7276647,41999
53.1655415,44.78791810000001,44466
58.5951603,56.3159546,53939
45.0819456,134.726645,43399
57.5358729,28.8586826,35909
47.6222451,40.7957942,86810
54.42267320000001,40.57052460000001,27564
59.9606739,30.158655100000004,412158
66.941626,129.642371,34749
49.7219665,143.448533,22451
53.2128813,50.8914633,60621
51.6520555,46.86319520000001,58348
55.03434960000001,33.0192065,29200
44.86325770000001,43.4406913,52622
58.6414755,61.8021546,85618
52.9019574,41.3578918,31267
55.7648572,52.43104273,20272
58.6124279,82.04753149999998,32003
53.9570701,37.3690909,38207
57.1134475,35.174442799999994,39570
58.8206488,70.36588370000001,34897
51.4017149,93.8582593,15802
57.1961165,52.69598320000001,32438
54.1463177,47.2324921,52987
56.0503336,40.6561633,31651
49.6048339,44.29035820000001,56363
60.0391461,43.1215213,44592
50.9800393,40.15065070000001,79764
67.1471631,74.3415488,38461
57.77819760000001,39.0021095,38226
52.248521,115.956325,42154
-1.9403,29.8739,24593
17.357822,-62.782998,44
13.9094,-60.9789,4486
12.9843,-61.2872,1830
-13.759,-172.1046,3
43.9424,12.4578,5047
0.1864,6.6131,2298
23.885942,45.079162,412216
14.4974,-14.4524,40135
44.0165,21.0059,679667
-4.6796,55.492,5284
8.460555000000001,-11.779889,4044
1.2833,103.8333,61006
48.669,19.699,379911
46.1512,14.9955,237028
-9.6457,160.1562,20
5.152149,46.199616,13670
-30.5595,22.9375,1575471
6.877000000000002,31.307,10532
37.5443,-4.7278,541843
41.5976,-0.9057,116374
43.3614,-5.8593,50028
39.710358,2.995148,58885
39.484,-0.7533,389344
28.2916,-16.6291,51617
43.1828,-3.9878,28004
39.2796,-3.0977,182975
41.8357,-4.3976,220867
41.5912,1.5209,572754
35.8894,-5.3213,5699
39.4937,-6.0679,73439
42.5751,-8.1339,120579
42.2871,-2.5396,29208
40.4168,-3.7038,669268
35.2923,-2.9381,8563
37.9922,-1.1307,110257
42.6954,-1.6761,58786
42.9896,-2.6189,180127
,,0
7.873054,80.77179699999998,101379
12.8628,30.2176,33673
3.9193,-56.0278,10045
56.2784,15.018,10724
61.0917,14.6664,22804
61.3012,16.1534,32223
57.4684,18.4867,3533
56.8967,12.8034,37018
63.1712,14.9592,10419
57.3708,14.3439,38026
57.235,16.1849,19461
56.7183,14.4115,17811
66.8309,20.3992,19953
59.535,15.0066,27167
58.3454,15.5198,34320
55.9903,13.5958,136944
59.0336,16.7519,21852
59.6025,18.1384,222719
60.0092,17.2715,35174
59.7294,13.2354,15797
65.3337,16.5162,20182
63.4276,17.7292,22467
59.6714,16.2159,23883
58.2528,13.0596,165866
46.8182,8.2275,646509
34.802075,38.99681500000001,22135
23.7,121.0,1100
38.861,71.2761,13308
-6.369028,34.888822,509
15.870032,100.992541,55460
-8.874217,125.727539,1897
8.6195,0.8248,12787
10.6918,-61.2225,9676
33.886917,9.537499,300342
38.9637,35.2433,4629969
,,49
,,103
13.4443,144.7937,7915
15.0979,145.6739,164
,,0
18.3358,-64.8963,3068
1.373333,32.290275,41655
49.4444,32.0598,72492
51.4982,31.2893,52335
48.2917,25.9352,76538
45.2835,34.2008,39973
48.4647,35.0462,117500
48.0159,37.8028,76593
48.9226,24.7111,83366
49.9935,36.2304,132191
46.6354,32.6169,30281
49.423,26.9871,81901
50.4501,30.5234,191495
50.053,30.7667,116718
48.5079,32.2623,17328
48.574,39.3078,22434
49.8397,24.0297,127137
46.975,31.9946,61567
46.4846,30.7326,131112
49.5883,34.5514,69316
50.6199,26.2516,69712
44.6054,33.522,13956
50.9077,34.7981,71365
49.5535,25.5948,64884
49.2331,28.4682,66914
50.7472,25.3254,55820
48.6208,22.2879,59537
47.8388,35.1396,93688
50.2547,28.6587,83047
23.424076,53.847818,510738
18.2206,-63.0686,58
32.3078,-64.7505,2335
18.4207,-64.64,194
19.3133,-81.2546,531
49.3723,-2.3644,4111
52.3555,-1.1743,3848742
-51.7963,-59.5236,63
36.1408,-5.3536,4283
54.2361,-4.5481,1586
16.742498,-62.187366,20
54.7877,-6.4923,119712
-7.9467,-14.3559,4
56.4907,-4.2026,225204
21.694000000000006,-71.7979,2376
,,0
52.1307,-3.7837,211224
-32.5228,-55.7658,184865
41.377491,64.585262,89027
-15.3767,166.9592,4
6.4238,-66.5897,191518
14.058324,108.277199,2843
31.9522,35.2332,290972
15.552727,48.516388,6137
-13.133897,27.849332,91358
-19.015438,29.154857,38086
32.53952745,-86.64408227,526131
55.32222414,-161.9722021,67059
35.39465006,-109.4892383,858737
34.29145151,-91.37277296,334706
37.64629437,-121.8929271,3731667
39.87432092,-104.3362578,502242
41.26809896,-73.3881171,334766
39.08646628,-75.56884914,103222
38.90417773,-77.01655992,47323
29.67866525,-82.35928158,2208584
31.74847232,-82.28909114,1093768
19.60121157,-155.5210167,33351
43.4526575,-116.24155159999998,186183
39.98815591,-91.18786813,1320934
40.7457653,-84.93671406,714786
41.33075609,-94.47105874,362924
37.88582951,-95.30030847,308883
37.10459774,-85.28129668,440955
30.2950649,-92.41419698,455541
44.1664747,-70.20380627,59776
39.62357628,-78.69280486,443257
41.72980578,-70.28854339,682784
44.6846864,-83.59507875,911800
46.60962049,-93.4116826,568243
31.47669768,-91.35326037,310349
40.19058551,-92.60078167,588517
45.13434354,-112.8984694,108097
40.52449420000001,-98.50117804,218732
39.15509045,-119.7480219,312840
43.51637314,-71.41684235,93821
39.47538693,-74.65848483,997891
35.05163625,-106.6703554,196221
42.60060306,-73.97723916,2031093
36.0434701,-79.39976137,956932
46.09686891,-102.5285397,106688
38.84541072,-83.4718964,1064306
35.88494195,-94.65859267,446550
44.70915557,-117.6749883,180700
39.87140411,-77.21610347,1134742
18.180117000000006,-66.754367,129203
41.71018079,-71.28652315,146324
34.22333378,-82.46170658,574985
43.71757685,-98.56050467,121986
36.12684348,-84.19965764,841049
31.81534745,-95.65354823,2873995
41.52106798,-113.0832816,395431
44.03217337,-73.14130877,22576
37.76707161,-75.63234615,654210
46.98299757,-118.5601734,395312
39.1307219,-80.00350858,151382
43.96974651,-89.76782777,656526
41.65498705,-105.7235415,57696
